sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_jail_time (days),c_charge_degree,is_recid,decile_score,score_text,two_year_recid
Male,51,African-American,0,0,0,2,-1,2013-02-27 04:44:18,2013-02-28 08:01:39,1.13704861111182,M,0,1,Low,0
Male,29,Caucasian,0,0,0,2,-1,2014-04-05 08:45:01,2014-04-06 01:46:41,0.709490740744513,M,1,2,Low,1
Female,51,African-American,0,0,0,7,-1,2013-02-13 09:29:56,2013-02-15 01:35:37,1.67061342592933,F,0,2,Low,0
Male,29,African-American,0,0,0,0,0,2014-03-03 04:28:58,2014-03-03 09:10:41,0.195636574077071,F,1,7,Medium,1
Male,25,Caucasian,0,0,0,9,-1,2014-03-27 10:17:55,2014-04-03 09:27:42,6.96512731481198,M,1,10,High,1
Male,35,African-American,1,0,4,13,-1,2014-05-18 04:05:09,2014-05-19 01:47:37,0.904490740744222,F,1,8,High,1
Male,49,Caucasian,0,0,0,0,0,2013-08-02 04:43:01,2013-08-02 08:31:32,0.158692129625706,M,0,1,Low,0
Male,29,African-American,0,0,0,0,0,2013-04-24 04:28:24,2013-04-24 08:20:12,0.160972222220153,F,0,4,Low,0
Male,29,Caucasian,0,0,0,1,-24,2013-05-10 05:18:38,2013-05-10 07:43:04,0.100300925922056,F,1,2,Low,1
Female,28,Other,0,0,0,0,-1,2013-11-17 09:43:17,2013-11-18 08:03:35,0.930763888893125,F,0,2,Low,0
Male,31,African-American,0,0,1,15,-1,2013-03-17 09:02:33,2013-07-31 08:23:26,135.97283564815,F,1,5,Medium,0
Male,24,African-American,0,0,0,2,-1,2013-09-17 07:19:20,2013-09-19 04:16:03,1.87271990740555,F,1,4,Low,1
Male,30,Hispanic,0,0,0,0,0,2013-01-20 02:50:51,2013-02-12 09:16:13,23.2676157407404,M,0,7,Medium,0
Male,49,African-American,0,0,0,4,-1,2013-08-26 09:16:39,2013-08-27 06:57:19,0.903240740735782,M,0,1,Low,0
Male,53,Caucasian,0,0,0,8,-13,2013-05-15 08:36:10,2013-05-28 10:06:35,13.0627893518467,F,0,5,Medium,0
Male,35,African-American,0,0,0,5,-1,2013-02-10 07:44:42,2013-02-11 07:04:44,0.972245370372548,F,0,3,Low,0
Male,27,African-American,1,1,2,15,-1,2014-08-29 04:58:13,2014-08-30 08:38:48,1.15318287037371,F,1,10,High,1
Male,38,Caucasian,0,0,0,4,-1,2013-02-03 11:59:25,2013-02-05 11:05:50,1.96278935185546,M,1,2,Low,1
Male,22,African-American,0,0,1,1,-1,2013-11-15 06:56:49,2013-11-16 07:51:56,1.03827546296816,F,1,4,Low,1
Male,29,African-American,0,0,0,4,-1,2013-01-25 10:34:01,2013-02-13 09:36:41,18.9601851851912,F,1,9,High,1
Male,62,Hispanic,0,0,0,0,0,2013-01-08 12:33:09,2013-01-08 09:41:28,0.119224537033006,M,0,1,Low,0
Male,27,African-American,0,1,0,6,0,2014-04-30 02:11:49,2014-05-30 04:59:14,30.1162615740759,F,1,6,Medium,1
Male,33,Other,0,0,0,0,-1,2014-03-08 01:34:03,2014-03-09 10:21:45,1.36645833333023,M,0,1,Low,0
Female,56,African-American,0,0,0,0,0,2013-09-28 02:52:18,2013-10-01 07:39:52,3.19969907407358,M,0,1,Low,0
Male,45,Hispanic,0,0,0,6,-1,2013-01-12 05:43:00,2013-09-11 04:51:56,241.964537037042,F,1,1,Low,1
Male,22,Hispanic,0,0,0,1,-1,2013-05-24 06:06:17,2013-05-25 07:28:17,1.05694444444089,F,0,4,Low,0
Male,39,African-American,0,0,0,1,-1,2013-03-06 11:23:53,2013-03-11 09:00:57,4.90074074074073,M,0,4,Low,0
Male,29,African-American,0,0,0,5,0,2013-01-07 02:12:47,2013-01-08 05:19:42,1.12980324074306,F,1,6,Medium,1
Male,27,Caucasian,0,0,1,1,-1,2014-12-02 03:23:28,2014-12-16 09:24:24,14.2506481481541,F,1,6,Medium,1
Male,40,African-American,0,0,0,2,-15,2013-07-02 03:42:01,2013-07-05 08:13:10,3.18829861110862,F,0,2,Low,0
Male,22,African-American,0,0,0,1,0,2013-08-25 12:07:09,2013-09-11 08:04:08,16.8312384259261,M,1,3,Low,1
Male,22,Caucasian,0,0,0,0,-1,2013-02-18 12:24:07,2013-04-17 10:32:09,57.9222453703696,F,0,8,High,0
Female,26,African-American,0,0,0,1,-1,2013-11-07 09:01:45,2013-11-09 09:07:50,2.00422453703504,F,1,4,Low,1
Male,32,African-American,0,0,0,0,-1,2013-03-03 03:33:48,2013-03-04 07:08:59,1.14943287037022,F,0,2,Low,0
Male,41,African-American,0,0,0,1,-1,2013-02-27 09:49:07,2013-03-01 01:59:16,1.67371527777868,M,0,2,Low,0
Male,30,African-American,0,0,0,8,-1,2013-02-20 02:14:37,2013-02-21 07:47:06,1.23089120369696,M,1,10,High,1
Male,50,Other,0,0,0,0,-1,2014-08-06 12:43:24,2014-08-07 08:29:46,0.823865740741894,F,1,1,Low,1
Male,25,African-American,1,6,1,14,-1,2013-04-19 02:20:32,2013-04-26 05:45:46,7.14252314814803,F,1,10,High,1
Male,20,Other,0,0,0,0,-1,2013-10-02 05:50:22,2013-10-03 08:15:24,1.10071759259154,F,1,5,Medium,1
Male,22,African-American,1,0,0,2,0,2014-01-16 02:39:46,2014-02-15 04:39:31,30.0831597222277,F,1,9,High,1
Female,35,African-American,0,0,0,1,-1,2013-03-29 06:55:39,2013-03-30 03:12:37,0.845115740747133,M,0,2,Low,0
Male,36,African-American,0,0,0,9,0,2014-04-29 12:24:22,2014-05-03 04:26:44,3.6683101851886,F,1,7,Medium,1
Male,26,Caucasian,0,0,0,7,0,2013-01-12 04:53:07,2013-01-12 07:28:51,0.108148148152395,F,1,8,High,1
Male,21,Other,0,0,0,1,0,2013-04-20 12:30:29,2013-04-24 10:36:19,3.92071759259125,F,1,6,Medium,1
Male,25,Caucasian,0,0,0,9,-1,2014-12-12 07:27:40,2014-12-13 07:23:49,0.997326388889633,F,1,8,High,1
Female,20,Caucasian,0,0,0,0,-1,2013-11-13 11:21:14,2013-11-14 01:36:21,0.59383101851563,F,0,7,Medium,0
Male,39,Caucasian,0,0,0,2,-2,2013-02-11 12:50:21,2013-02-11 07:33:17,0.220185185185983,F,1,1,Low,1
Female,54,Caucasian,0,0,0,0,0,2013-04-15 01:07:24,2013-04-15 07:56:24,0.284027777779556,M,0,1,Low,0
Female,44,Hispanic,0,0,0,0,-2,2013-08-18 03:23:05,2013-08-19 06:27:00,1.12771990741021,M,0,1,Low,0
Male,19,African-American,0,0,0,1,-10,2014-11-04 07:39:38,2014-11-13 10:02:51,9.09945601852087,M,1,4,Low,1
Male,30,African-American,0,0,0,1,-1,2013-09-08 09:39:18,2013-09-09 08:03:09,0.933229166665114,F,0,2,Low,0
Female,39,Caucasian,0,0,0,0,-1,2013-09-04 11:36:38,2013-09-06 04:07:01,1.68776620370772,F,1,1,Low,1
Male,24,Caucasian,0,1,2,8,-1,2013-04-10 05:59:23,2013-04-22 10:32:05,12.1893750000017,F,1,6,Medium,1
Male,30,Caucasian,0,0,0,0,-1,2013-08-28 11:22:24,2013-09-03 10:40:45,5.97107638888701,F,0,4,Low,0
Male,31,Caucasian,0,0,0,0,-1,2014-02-20 09:46:47,2014-03-31 09:04:43,38.9707870370403,M,0,5,Medium,0
Female,39,Caucasian,0,0,0,1,-1,2013-02-25 07:42:47,2013-06-12 04:31:04,106.866863425923,F,0,4,Low,0
Male,43,Caucasian,0,0,0,1,-30,2013-07-16 06:41:37,2013-07-17 07:35:00,1.03707175925956,F,0,1,Low,0
Male,21,African-American,0,0,0,3,-1,2013-03-01 01:43:35,2013-03-07 08:20:12,6.27542824074044,F,1,9,High,1
Male,38,Caucasian,0,0,0,5,-1,2013-01-15 08:16:11,2013-01-18 04:32:15,2.84449074073927,M,1,4,Low,1
Male,34,Caucasian,0,0,0,0,0,2013-02-15 10:54:22,2013-03-02 09:04:47,14.9239004629635,F,0,5,Medium,0
Male,33,African-American,0,0,0,5,0,2013-11-17 01:23:30,2013-11-17 08:15:06,0.285833333335177,F,1,5,Medium,1
Male,37,African-American,0,0,0,3,0,2013-11-18 03:46:24,2013-11-19 10:18:36,1.27236111110687,F,0,2,Low,0
Male,42,Caucasian,0,0,0,1,0,2013-03-16 03:53:03,2013-03-17 01:43:20,0.909918981487863,F,1,2,Low,1
Male,41,African-American,0,1,0,10,0,2013-09-06 04:25:05,2014-03-01 04:39:46,176.010196759256,F,1,9,High,1
Male,22,African-American,0,0,0,0,-1,2013-11-12 03:57:04,2013-11-13 01:01:29,0.878067129626288,F,1,4,Low,1
Male,33,African-American,0,12,2,28,-1,2014-01-10 08:06:40,2014-01-12 04:07:52,1.83416666666744,F,1,8,High,1
Male,31,African-American,0,0,0,1,-1,2013-10-13 03:47:49,2013-10-14 08:18:17,1.18782407407707,M,0,7,Medium,0
Female,30,Other,0,0,0,1,-1,2013-10-28 07:07:32,2013-10-29 09:49:38,1.11256944444904,F,0,2,Low,0
Male,31,Caucasian,0,0,0,13,-1,2013-02-25 06:43:30,2014-06-11 12:57:06,471.259444444448,F,1,10,High,1
Male,27,African-American,0,0,0,3,-1,2014-11-14 12:10:00,2014-11-15 11:29:02,0.97155092592584,F,1,9,High,1
Male,52,Caucasian,0,0,0,3,-2,2013-07-27 10:50:36,2013-07-28 02:01:45,0.63274305556115,M,0,9,High,0
Male,33,African-American,0,0,0,19,-1,2013-12-28 10:22:08,2013-12-29 07:10:39,0.867025462961465,F,1,10,High,1
Male,42,Caucasian,0,0,0,6,-4,2013-09-13 12:01:41,2013-09-13 09:01:37,0.125046296292567,F,0,3,Low,0
Female,25,Caucasian,0,0,0,2,-1,2013-12-22 01:36:59,2013-12-25 02:33:32,3.03927083333838,F,0,4,Low,0
Male,30,Caucasian,0,0,0,1,-20,2013-10-30 06:36:57,2013-11-03 02:08:43,3.8137268518476,M,0,2,Low,0
Female,37,Other,0,0,0,2,-1,2013-12-29 10:42:45,2013-12-31 04:10:00,1.72725694443943,M,0,2,Low,0
Male,28,Caucasian,0,0,0,0,-1,2014-12-18 11:16:49,2014-12-19 08:34:46,0.887465277781303,M,1,2,Low,1
Female,24,African-American,0,0,0,0,-1,2014-02-06 01:25:28,2014-02-08 12:00:39,2.44109953703446,M,0,2,Low,0
Female,29,Caucasian,0,1,0,10,-1,2014-11-18 07:08:18,2014-11-25 09:31:21,7.09934027778218,F,1,4,Low,1
Male,44,Caucasian,0,0,0,2,0,2014-01-27 02:05:45,2014-01-27 01:32:12,0.023298611107748,M,1,2,Low,1
Male,32,African-American,0,0,0,3,-1,2013-01-01 07:06:35,2013-01-09 08:36:21,8.06233796296874,F,1,7,Medium,1
Male,31,Caucasian,0,0,0,2,-16,2013-08-20 05:28:11,2013-09-04 08:35:41,15.1302083333358,M,1,3,Low,1
Male,31,African-American,0,0,0,1,-1,2013-01-16 05:37:32,2013-01-17 07:15:11,1.06781250000495,M,1,2,Low,0
Male,59,Caucasian,0,0,0,1,-1,2013-04-01 11:13:32,2013-04-02 01:06:22,0.578356481477385,F,1,2,Low,1
Female,20,African-American,1,0,0,1,0,2013-11-20 09:36:33,2013-11-23 04:06:00,2.77045138888207,F,0,10,High,0
Female,43,Caucasian,0,0,0,0,0,2013-05-14 04:01:02,2013-05-15 03:11:16,0.965439814819547,M,0,1,Low,0
Male,38,African-American,1,1,0,9,-1,2014-04-18 02:31:13,2014-05-01 05:39:49,13.1309722222213,F,1,8,High,1
Male,32,African-American,0,0,0,11,-2,2014-12-17 02:03:04,2014-12-18 08:41:05,1.27640046296438,F,1,6,Medium,1
Male,33,African-American,0,0,0,8,-1,2013-12-25 07:37:38,2013-12-26 01:30:44,0.745208333333721,M,1,5,Medium,1
Female,31,African-American,0,0,0,0,-1,2014-10-22 11:17:38,2014-10-24 06:08:10,1.7850925925959,F,1,3,Low,1
Female,33,African-American,0,0,0,7,-1,2013-01-10 01:18:15,2013-02-05 05:36:46,26.1795254629615,F,1,9,High,1
Male,27,African-American,0,0,0,2,-1,2013-04-15 05:49:27,2013-04-16 07:48:50,1.08290509259678,F,1,9,High,1
Female,20,African-American,0,0,0,0,0,2013-12-07 03:39:31,2013-12-07 07:28:49,0.159236111110658,F,0,6,Medium,0
Female,26,Caucasian,0,0,0,0,-2,2014-01-25 04:45:14,2014-01-26 02:13:40,0.89474537037313,M,0,6,Medium,0
Female,61,African-American,0,0,0,1,-1,2013-04-26 07:00:16,2013-04-27 01:09:09,0.756168981482915,F,1,1,Low,1
Male,52,Other,0,0,0,13,-1,2013-05-14 09:51:40,2013-05-16 03:32:12,1.73648148148641,F,1,7,Medium,1
Male,63,Hispanic,0,0,0,1,-26,2014-01-10 09:45:32,2014-01-25 05:08:15,14.8074421296333,F,0,1,Low,0
Female,32,African-American,0,0,0,4,-7,2014-04-16 09:55:10,2014-04-23 05:27:00,6.81377314814745,F,1,10,High,1
Male,29,Hispanic,0,0,0,1,-1,2013-09-05 06:24:46,2013-09-06 03:39:35,0.885289351856045,F,0,4,Low,0
Female,26,African-American,0,0,0,2,-1,2013-03-09 07:15:19,2013-03-10 01:31:38,0.761331018518831,M,1,4,Low,1
Male,39,Caucasian,1,0,0,1,-1,2014-02-10 10:59:01,2014-02-14 09:09:06,3.92366898147884,M,0,4,Low,0
Female,30,Caucasian,0,0,0,3,0,2013-05-02 04:01:43,2014-10-14 06:03:58,530.08489583333,F,1,7,Medium,1
Male,30,African-American,0,0,0,1,0,2013-03-02 01:19:52,2013-05-11 04:23:17,70.1273726851869,F,0,7,Medium,0
Male,48,Caucasian,0,0,0,2,-1,2013-09-25 12:51:27,2013-09-26 08:42:11,0.826898148152395,M,0,2,Low,0
Male,22,African-American,0,0,0,1,-1,2013-05-15 12:16:21,2013-05-16 09:03:09,0.865833333336923,F,0,2,Low,0
Male,46,Caucasian,0,0,0,6,22,2013-03-05 09:31:17,2013-03-28 01:40:17,22.6729166666701,F,1,1,Low,1
Male,31,Caucasian,0,0,0,0,0,2013-04-20 02:52:11,2013-04-22 09:19:35,2.26902777778014,F,0,5,Medium,0
Male,25,African-American,0,0,0,1,-1,2013-09-16 03:35:39,2013-09-18 01:39:28,1.91931712962833,M,1,2,Low,1
Male,23,Hispanic,0,0,0,0,-1,2013-09-08 01:03:31,2013-09-08 02:03:07,0.041388888887013,F,0,3,Low,0
Female,32,African-American,0,0,0,5,-1,2013-02-17 07:51:04,2013-02-18 10:17:02,1.1013657407384,F,0,7,Medium,0
Male,52,Hispanic,0,0,0,2,-1,2013-03-04 10:07:00,2013-03-07 11:56:36,3.07611111111328,M,0,1,Low,0
Male,62,African-American,0,0,0,8,0,2013-02-05 12:23:14,2013-02-21 04:06:55,15.6553356481454,F,0,4,Low,0
Male,31,Hispanic,0,0,0,8,29,2013-08-23 05:18:39,2013-12-18 10:43:00,117.225243055553,F,1,9,High,1
Male,28,African-American,0,0,0,6,-1,2013-03-17 09:01:58,2013-03-18 01:40:10,0.693194444444089,M,1,6,Medium,1
Male,54,Hispanic,0,0,0,2,-1,2013-08-28 02:23:37,2014-03-04 11:31:17,188.380324074074,F,0,1,Low,0
Male,58,Hispanic,0,0,0,0,-1,2013-03-13 10:02:13,2013-03-14 02:21:27,0.680023148146574,F,0,2,Low,0
Male,78,Caucasian,0,0,0,1,-1,2014-09-19 10:36:52,2014-09-20 07:10:15,0.856516203704814,M,1,1,Low,1
Male,56,Caucasian,0,0,0,0,-1,2014-03-02 03:51:04,2014-03-03 07:47:20,1.1640740740695,F,0,1,Low,0
Male,24,Other,0,0,0,0,-1,2014-01-13 09:13:09,2014-01-15 08:37:12,1.97503472222161,F,0,2,Low,0
Male,22,African-American,0,0,0,1,0,2014-04-24 01:23:50,2014-04-24 01:25:52,0.001412037032424,F,1,5,Medium,1
Male,47,African-American,0,0,0,23,-1,2013-02-02 08:19:13,2013-02-03 05:06:15,0.865995370368182,M,1,8,High,1
Male,23,African-American,0,0,0,0,-1,2014-01-05 11:08:48,2014-01-06 12:02:14,1.03710648148262,M,1,2,Low,1
Male,57,Hispanic,0,0,0,1,0,2013-10-25 09:20:19,2013-11-14 02:05:31,19.6980555555565,F,0,1,Low,0
Male,66,African-American,0,0,0,3,-10,2013-06-01 11:04:44,2013-06-03 11:25:14,2.01423611111386,F,1,1,Low,0
Male,45,Caucasian,0,0,0,8,0,2014-02-17 02:38:50,2014-04-29 04:18:29,71.0692013888911,M,1,4,Low,1
Male,37,African-American,0,0,0,2,0,2013-12-24 03:40:12,2013-12-24 08:53:51,0.217812499999127,M,1,9,High,1
Male,39,Caucasian,0,0,0,0,0,2014-03-02 05:08:46,2014-03-03 03:17:00,0.922384259261889,F,1,4,Low,1
Male,26,African-American,0,0,0,9,0,2014-11-14 01:28:54,2015-02-01 08:34:27,79.2955208333297,F,1,9,High,1
Male,45,Caucasian,0,0,0,2,-1,2013-01-31 04:11:55,2014-01-25 03:27:03,358.968842592592,F,0,3,Low,0
Male,23,African-American,0,0,0,0,-1,2014-04-25 10:29:59,2014-04-26 09:57:20,0.977326388892834,F,1,3,Low,1
Male,34,African-American,0,0,0,2,0,2014-01-31 12:35:27,2014-02-26 05:50:20,25.7186689814844,M,1,2,Low,0
Female,23,African-American,0,0,0,1,-1,2013-08-20 11:57:06,2013-08-21 07:50:16,0.828587962962047,M,0,4,Low,0
Male,36,Other,0,0,0,2,-1,2014-01-27 10:23:53,2014-01-30 10:04:48,2.98674768518686,M,1,3,Low,1
Male,50,Caucasian,0,0,0,1,-4,2013-09-12 09:32:07,2013-09-14 03:06:18,1.73207175925927,F,0,1,Low,0
Female,37,Caucasian,0,0,0,0,-1,2013-11-07 02:53:47,2013-11-07 09:00:57,0.254976851851097,M,0,3,Low,0
Male,44,Caucasian,0,0,0,4,0,2013-01-06 04:51:37,2013-01-07 10:41:46,1.24315972221666,M,0,4,Low,0
Female,35,African-American,0,1,0,23,-1,2014-07-12 03:02:54,2014-07-14 05:19:00,2.09451388889283,F,1,9,High,1
Male,24,Other,0,0,0,5,-1,2014-10-07 12:01:33,2014-10-08 08:26:09,0.850416666668025,F,1,5,Medium,1
Male,26,African-American,0,0,0,2,-1,2013-04-17 06:43:21,2013-04-18 10:07:23,1.14168981481635,F,1,10,High,1
Male,27,African-American,0,0,0,0,-1,2013-03-25 12:25:41,2013-03-28 05:58:56,2.7314236111124,M,0,2,Low,0
Female,28,African-American,0,0,0,0,0,2013-10-29 04:01:57,2013-11-27 06:51:07,29.117476851854,F,0,8,High,0
Female,28,Caucasian,0,0,0,7,-1,2013-10-09 09:15:07,2013-10-10 09:46:20,1.02167824073695,F,1,9,High,1
Male,38,African-American,0,0,0,2,-1,2013-03-19 04:21:06,2013-03-20 09:34:48,1.21784722222219,F,0,1,Low,0
Female,28,African-American,0,0,0,1,-1,2013-01-01 06:27:15,2013-02-09 02:24:08,38.83116898148,F,0,9,High,0
Male,56,Caucasian,0,0,0,7,-1,2013-03-19 11:00:49,2013-03-20 01:32:28,0.605312500003492,F,1,1,Low,1
Male,38,African-American,0,0,0,15,-1,2013-02-18 09:26:05,2013-02-20 03:43:56,1.76239583333518,F,0,9,High,0
Male,28,African-American,0,0,0,2,-1,2013-10-30 07:57:19,2013-10-31 01:45:23,0.741712962961174,M,0,5,Medium,0
Female,51,Caucasian,0,0,0,0,-1,2014-01-12 08:37:58,2014-01-13 02:00:36,0.724050925920892,M,1,1,Low,1
Male,51,Caucasian,0,0,0,0,-1,2013-10-30 11:27:14,2013-10-31 08:46:16,0.888217592590081,M,0,2,Low,0
Male,36,Other,0,0,0,1,-1,2013-01-06 09:15:11,2013-01-07 11:01:40,1.07394675925752,M,1,1,Low,1
Male,48,African-American,0,0,0,0,-1,2013-01-12 06:40:25,2013-01-13 09:03:52,1.0996180555594,F,0,1,Low,0
Male,37,Caucasian,0,0,0,4,0,2013-04-17 04:44:25,2013-04-19 01:08:53,1.85032407407562,F,1,3,Low,1
Female,30,African-American,0,0,0,2,-1,2013-05-12 06:56:40,2013-05-15 02:06:25,2.79843750000146,F,0,7,Medium,0
Female,41,African-American,0,0,0,5,0,2013-11-05 02:09:51,2013-11-05 07:57:55,0.241712962961174,M,0,6,Medium,0
Male,27,African-American,0,0,0,11,-1,2013-04-23 07:22:20,2013-12-02 11:28:01,223.170613425929,F,1,10,High,1
Male,37,African-American,0,0,0,0,-1,2013-02-16 07:22:50,2013-02-18 02:10:02,1.78277777777839,M,1,1,Low,0
Male,33,Other,0,0,0,4,0,2014-04-30 02:37:51,2014-05-02 05:55:00,2.13690972222685,F,1,4,Low,1
Male,54,African-American,0,0,0,11,-1,2013-05-06 08:51:14,2013-09-13 05:58:39,129.880150462959,F,0,9,High,0
Male,23,African-American,0,0,0,2,-1,2013-05-08 10:09:34,2013-07-19 06:36:57,71.8523495370391,F,0,9,High,0
Male,41,African-American,0,0,0,0,0,2014-01-25 09:44:01,2014-01-26 06:31:19,0.866180555553001,M,0,1,Low,0
Male,52,Caucasian,0,0,0,0,-1,2013-05-15 11:15:03,2013-05-16 08:50:44,0.899780092593574,F,0,1,Low,0
Male,43,Caucasian,0,0,0,13,0,2013-02-20 01:55:05,2013-04-12 09:45:26,51.3266319444447,F,1,4,Low,1
Male,52,African-American,0,0,0,0,-1,2014-02-03 03:50:35,2014-02-17 02:20:23,13.937361111115,F,0,4,Low,0
Male,28,Caucasian,0,0,0,1,-3,2013-05-14 04:20:05,2013-05-17 10:53:34,3.27325231481518,F,0,1,Low,0
Male,30,African-American,0,0,2,11,-1,2014-08-05 03:19:41,2014-08-06 08:40:28,1.22276620370394,M,1,9,High,1
Male,28,Caucasian,0,0,0,1,0,2013-09-27 04:35:20,2013-10-03 08:39:37,6.1696412037054,F,0,5,Medium,0
Male,22,African-American,0,0,0,0,-1,2013-02-21 03:42:13,2013-02-22 01:52:11,0.923587962963211,F,0,4,Low,0
Male,30,African-American,0,0,0,4,0,2013-03-05 04:44:39,2013-03-05 01:41:22,0.127280092594447,F,0,2,Low,0
Male,25,Hispanic,0,0,0,4,0,2013-11-03 02:47:28,2013-11-04 07:59:32,1.21671296295972,F,0,4,Low,0
Male,31,Caucasian,0,0,0,0,-1,2014-12-30 04:53:40,2015-01-30 04:31:37,30.9846875000003,F,1,8,High,1
Male,37,Caucasian,0,0,0,0,-1,2014-04-18 05:22:38,2014-05-23 05:31:44,35.0063194444447,F,1,2,Low,1
Male,32,African-American,0,1,0,14,-1,2013-12-16 05:05:35,2013-12-17 08:47:25,1.15405092592846,F,0,9,High,0
Male,53,Caucasian,0,0,0,1,-1,2013-01-15 05:53:17,2013-01-16 07:01:06,1.04709490740788,M,0,1,Low,0
Male,28,African-American,0,0,0,25,29,2014-01-08 11:38:20,2014-02-03 10:50:45,25.9669560185212,F,1,8,High,1
Male,44,Caucasian,0,0,0,8,-1,2013-04-10 09:31:05,2013-04-15 09:09:29,4.98500000000058,M,1,5,Medium,1
